Wavelength(nm),Var#1(21sec)
844.627,4.08E+08
845.006,3.32E+08
845.386,4.49E+08
845.766,4.25E+08
846.146,3.44E+08
846.525,3.68E+08
846.905,4.37E+08
847.285,2.21E+08
847.666,3.84E+08
848.046,4.04E+08
848.426,4.63E+08
848.806,3.31E+08
849.187,4.14E+08
849.567,3.61E+08
849.948,4.69E+08
850.328,4.63E+08
850.709,5.38E+08
851.09,3.60E+08
851.47,4.13E+08
851.851,5.23E+08
852.232,3.85E+08
852.613,4.84E+08
852.994,5.44E+08
853.375,4.18E+08
853.756,4.97E+08
854.137,3.87E+08
854.518,4.35E+08
854.899,4.63E+08
855.281,4.27E+08
855.662,3.94E+08
856.043,3.96E+08
856.425,5.43E+08
856.806,4.82E+08
857.188,4.81E+08
857.569,5.73E+08
857.951,4.34E+08
858.332,5.24E+08
858.714,5.86E+08
859.096,4.09E+08
859.477,3.84E+08
859.859,6.26E+08
860.241,7.23E+08
860.623,4.70E+08
861.004,3.68E+08
861.386,4.03E+08
861.768,5.13E+08
862.15,5.47E+08
862.532,5.13E+08
862.914,4.68E+08
863.295,5.22E+08
863.677,5.42E+08
864.059,6.73E+08
864.441,4.84E+08
864.823,5.71E+08
865.205,5.35E+08
865.587,5.26E+08
865.968,4.22E+08
866.35,6.35E+08
866.732,6.61E+08
867.114,4.51E+08
867.496,6.94E+08
867.878,5.63E+08
868.259,4.81E+08
868.641,4.71E+08
869.023,5.97E+08
869.404,5.32E+08
869.786,6.24E+08
870.168,5.16E+08
870.549,6.06E+08
870.93,5.60E+08
871.312,5.04E+08
871.693,7.15E+08
872.075,5.96E+08
872.456,5.75E+08
872.837,5.59E+08
873.218,5.49E+08
873.599,5.10E+08
873.98,5.56E+08
874.361,5.51E+08
874.742,6.55E+08
875.122,5.42E+08
875.503,6.10E+08
875.883,7.62E+08
876.264,6.34E+08
876.644,4.72E+08
877.024,6.92E+08
877.404,6.19E+08
877.784,8.45E+08
878.164,4.76E+08
878.544,4.53E+08
878.923,6.50E+08
879.303,5.83E+08
879.682,4.81E+08
880.061,7.06E+08
880.44,8.24E+08
880.819,5.18E+08
881.197,7.77E+08
881.576,5.65E+08
881.954,3.38E+08
882.332,5.52E+08
882.71,5.04E+08
883.088,5.44E+08
883.465,6.11E+08
883.843,6.77E+08
884.22,5.69E+08
884.596,6.53E+08
884.973,5.78E+08
885.349,5.56E+08
885.726,4.21E+08
886.102,7.23E+08
886.477,6.24E+08
886.853,6.52E+08
887.228,4.84E+08
887.603,6.75E+08
887.977,7.52E+08
888.352,7.14E+08
